Module Name,Program Name,Enrolled,Lecturer,Room
Advanced Software Engineering,Level 7 Diploma in Applied Software Development,39,Dr. Amanda Lee,online
Agile Software Development,Level 7 Diploma in Applied Software Development,39,Prof. Ethan Moore,online
Artificial Intelligence and Machine Learning in,Level 7 Diploma in Applied Software Development,39,Prof. Nicholas Robinson,online
Cloud Computing,Level 7 Diploma in Applied Software Development,39,Dr. Victoria Anderson,online
Database Systems,Level 7 Diploma in Applied Software Development,39,Prof. Joshua Garcia,online
Mobile Application Development,Level 7 Diploma in Applied Software Development,39,Prof. Benjamin Thomas,online
Object-Oriented Programming,Level 7 Diploma in Applied Software Development,39,Prof. Andrew Martinez,online
Project Management for Software Development,Level 7 Diploma in Applied Software Development,39,Prof. Samuel Lewis,online
Software Security and Cryptography,Level 7 Diploma in Applied Software Development,39,Dr. Kimberly Johnson,online
Software Testing and Quality Assurance,Level 7 Diploma in Applied Software Development,39,Dr. Olivia Martinez,online
User Interface and User Experience Design,Level 7 Diploma in Applied Software Development,39,Dr. Natalie King,online
Web Development Technologies,Level 7 Diploma in Applied Software Development,39,Dr. Rachel Evans,online
Big Data Technologies,Level 7 Diploma in Data Analytics for Business,39,Dr. Emily Johnson,online
Business Intelligence and Data Warehousing,Level 7 Diploma in Data Analytics for Business,39,Prof. Daniel Smith,online
Capstone Project in Data Analytics,Level 7 Diploma in Data Analytics for Business,39,Dr. Samantha Taylor,online
Data Mining Techniques ,Level 7 Diploma in Data Analytics for Business,39,Dr. Sarah Adams,online
Data Visualization and Reporting,Level 7 Diploma in Data Analytics for Business,39,Dr. Michelle Young,online
Database Management and SQL,Level 7 Diploma in Data Analytics for Business,39,Prof. Ryan Carter,online
Ethical and Legal Issues in Data Analytics,Level 7 Diploma in Data Analytics for Business,39,Prof. David Wilson,online
Introduction to Data Analytics,Level 7 Diploma in Data Analytics for Business,39,Dr. Rebecca Wright,online
Machine Learning for Business Analytics,Level 7 Diploma in Data Analytics for Business,39,Prof. William Baker,online
Predictive Analytics,Level 7 Diploma in Data Analytics for Business,39,Dr. Stephanie Scott,online
Statistical Analysis for Business,Level 7 Diploma in Data Analytics for Business,39,Prof. Alexander Hall,online
Text Mining and Natural Language Processing,Level 7 Diploma in Data Analytics for Business,39,Prof. Michael Brown,online
Time Series Analysis and Forecasting,Level 7 Diploma in Data Analytics for Business,39,Dr. Jennifer Martinez,online
Cloud Security,level 7 Diploma in Networking & Systems Security,39,Prof. James Rodriguez,online
Cryptography and Encryption,level 7 Diploma in Networking & Systems Security,39,Prof. Michael Brown,online
Ethical Hacking and Penetration Testing,level 7 Diploma in Networking & Systems Security,39,Prof. Matthew Thompson,online
Firewall Management and Configuration,level 7 Diploma in Networking & Systems Security,39,Prof. Christopher Clark,online
Incident Response and Forensics,level 7 Diploma in Networking & Systems Security,39,Dr. Lauren Harris,online
Intrusion Detection and Prevention Systems,level 7 Diploma in Networking & Systems Security,39,Dr. Samantha Taylor,online
Network Fundamentals,level 7 Diploma in Networking & Systems Security,39,Dr. Emily Johnson,online
Network Routing and Switching,level 7 Diploma in Networking & Systems Security,39,Prof. Daniel Smith,online
Network Security Principles,level 7 Diploma in Networking & Systems Security,39,Dr. Sarah Adams,online
Secure Network Design and Configuration,level 7 Diploma in Networking & Systems Security,39,Dr. Jennifer Martinez,online
Virtual Private Networks (VPNs),level 7 Diploma in Networking & Systems Security,39,Dr. Jessica White,online
Wireless Network Security,level 7 Diploma in Networking & Systems Security,39,Prof. David Wilson,online
Advanced Algorithms and Data Structures ,Level 8 Computer Science,39,Prof. Christopher Clark,R101
Advanced Programming Paradigms ,Level 8 Computer Science,39,Dr. Lauren Harris,R104
Artificial Intelligence and Machine Learning  ,Level 8 Computer Science,39,Prof. Matthew Thompson,R103
Bioinformatics and Computational Biology,Level 8 Computer Science,39,Dr. Olivia Martinez,R110
Computer Graphics and Visualization,Level 8 Computer Science,39,Dr. Amanda Lee,R106
Cybersecurity and Information Assurance ,Level 8 Computer Science,39,Prof. Andrew Martinez,R107
Data Science and Big Data Analytics,Level 8 Computer Science,39,Prof. Ethan Moore,R103
Distributed Systems and Cloud Computing ,Level 8 Computer Science,39,Dr. Jessica White,R102
High-Performance Computing,Level 8 Computer Science,39,Prof. James Rodriguez,R105
Human-Computer Interaction,Level 8 Computer Science,39,Dr. Victoria Anderson,R102
Natural Language Processing ,Level 8 Computer Science,39,Dr. Rachel Evans,R108
Quantum Computing,Level 8 Computer Science,39,Prof. Joshua Garcia,R109
Research Methods in Computer Science,Level 8 Computer Science,39,Prof. Samuel Lewis,R105
Robotics and Autonomous Systems,Level 8 Computer Science,39,Prof. Benjamin Thomas,R101
Software Engineering Practices and Principles,Level 8 Computer Science,39,Dr. Natalie King,R104
Advanced Machine Learning,level 8 Higher Diploma in Artificial Intelligence ,39,Dr. Kimberly Johnson,R106
AI Ethics and Responsible AI,level 8 Higher Diploma in Artificial Intelligence ,39,Dr. Stephanie Scott,R102
AI for Robotics and Autonomous Systems,level 8 Higher Diploma in Artificial Intelligence ,39,Prof. Daniel Smith,R105
AI in Business and Marketing,level 8 Higher Diploma in Artificial Intelligence ,39,Dr. Jennifer Martinez,R108
AI in Cybersecurity,level 8 Higher Diploma in Artificial Intelligence ,39,Prof. David Wilson,R109
AI in Finance,level 8 Higher Diploma in Artificial Intelligence ,39,Prof. Michael Brown,R107
AI in Healthcare,level 8 Higher Diploma in Artificial Intelligence ,39,Dr. Sarah Adams,R106
AI Project Management and Implementation,level 8 Higher Diploma in Artificial Intelligence ,39,Dr. Samantha Taylor,R110
Automated Planning and Scheduling,level 8 Higher Diploma in Artificial Intelligence ,39,Dr. Emily Johnson,R104
Computer Vision,level 8 Higher Diploma in Artificial Intelligence ,39,Prof. Alexander Hall,R109
Deep Learning and Neural Networks,level 8 Higher Diploma in Artificial Intelligence ,39,Prof. Nicholas Robinson,R107
Generative Adversarial Networks (GANs),level 8 Higher Diploma in Artificial Intelligence ,39,Prof. Ryan Carter,R101
Knowledge Representation and Reasoning,level 8 Higher Diploma in Artificial Intelligence ,39,Prof. William Baker,R103
Natural Language Processing,level 8 Higher Diploma in Artificial Intelligence ,39,Dr. Rebecca Wright,R108
Reinforcement Learning,level 8 Higher Diploma in Artificial Intelligence ,39,Dr. Michelle Young,R110
Advanced Algorithms and Data Structures,level 8 Higher Diploma in Computing,39,Dr. Victoria Anderson,R102
Advanced Programming Techniques,level 8 Higher Diploma in Computing,39,Prof. Christopher Clark,R101
Artificial Intelligence and Machine Learning,level 8 Higher Diploma in Computing,39,Dr. Amanda Lee,R106
Capstone Project in Computing,level 8 Higher Diploma in Computing,39,Prof. Samuel Lewis,R105
Computer Networks and Communication,level 8 Higher Diploma in Computing,39,Dr. Olivia Martinez,R110
Cybersecurity and Information Assurance,level 8 Higher Diploma in Computing,39,Prof. James Rodriguez,R105
Data Analytics and Visualization,level 8 Higher Diploma in Computing,39,Prof. Andrew Martinez,R107
Database Systems and Management,level 8 Higher Diploma in Computing,39,Prof. Matthew Thompson,R103
Distributed Systems and Cloud Computing,level 8 Higher Diploma in Computing,39,Dr. Lauren Harris,R104
Ethical and Legal Issues in Computing,level 8 Higher Diploma in Computing,39,Dr. Natalie King,R104
Mobile Application Development ,level 8 Higher Diploma in Computing,39,Prof. Joshua Garcia,R109
Operating Systems Design and Implementation,level 8 Higher Diploma in Computing,39,Prof. Benjamin Thomas,R101
Software Engineering Principles,level 8 Higher Diploma in Computing,39,Dr. Jessica White,R102
Software Testing and Quality Assurance ,level 8 Higher Diploma in Computing,39,Prof. Ethan Moore,R103
Web Development and Technologies,level 8 Higher Diploma in Computing,39,Dr. Rachel Evans,R108
Advanced Data Analytics Techniques,level 8 Higher Diploma in Data Analytics for Business ,39,Prof. Christopher Clark,R101
Advanced Data Mining Techniques,level 8 Higher Diploma in Data Analytics for Business ,39,Prof. Ethan Moore,R103
Advanced Data Visualization and Reporting,level 8 Higher Diploma in Data Analytics for Business ,39,Dr. Amanda Lee,R106
Advanced Statistical Analysis for Business,level 8 Higher Diploma in Data Analytics for Business ,39,Prof. Matthew Thompson,R103
Advanced Topics in Data Privacy and Ethics,level 8 Higher Diploma in Data Analytics for Business ,39,Dr. Victoria Anderson,R102
Big Data Analytics and Technologies,level 8 Higher Diploma in Data Analytics for Business ,39,Dr. Lauren Harris,R104
Business Analytics Strategy and Implementation,level 8 Higher Diploma in Data Analytics for Business ,39,Dr. Natalie King,R104
Capstone Project in Data Analytics for Business,level 8 Higher Diploma in Data Analytics for Business ,39,Prof. Samuel Lewis,R105
